Variable, Descriptions
UNION31,UNION STATUS AT RD 3/1 CMJ
UNION42,UNION STATUS AT RD 4/2 CMJ
UNION53,UNION STATUS AT RD 5/3 CMJ
VAEV22,EVER HAVE VA DURING 2022
VAPAP22,COVERED BY VA IN APR22
VAPAU22,COVERED BY VA IN AUG22
VAPDE22,COVERED BY VA IN DEC22
VAPFE22,COVERED BY VA IN FEB22
VAPJA22,COVERED BY VA IN JAN22
VAPJL22,COVERED BY VA IN JUL22
VAPJU22,COVERED BY VA IN JUN22
VAPMA22,COVERED BY VA IN MAR22
VAPMY22,COVERED BY VA IN MAY22
VAPNO22,COVERED BY VA IN NOV22
VAPOC22,COVERED BY VA IN OCT22
VAPRAT22,COV BY VA-ANY TME IN R5/3 TIL 12/31/22
VAPRAT31,COV BY VA - ANY TIME IN R3/1
VAPRAT42,COV BY VA - ANY TIME IN R4/2
VAPRAT53,COV BY VA - ANY TIME IN R5/3
VAPROG22,COV BY VA- 12/31/22
VAPROG31,COV BY VA - R3/1 INT DT
VAPROG42,COV BY VA - R4/2 INT DT
VAPROG53,COV BY VA 12-31/R3 INT DT
VAPSE22,COVERED BY VA IN SEP22
VARPSU,VARIANCE ESTIMATION PSU - 2022
VARSTR,VARIANCE ESTIMATION STRATUM - 2022
VERFLG22,"PID GAINED COVG THRU VERIFICATION IN R5/R3
UNTIL 12/31/22"
VERFLG31,PID GAINED COVG THRU VERIFICATION R3/1
VERFLG42,PID GAINED COVG THRU VERIFICATION R4/2
WHITPR42,IS PROVIDER WHITE-R4/2
WHNBST42,WHEN DR ADVISE BOOST SEAT(40<WT<=80)-R4/2
WHNEAT42,WHEN DR ADVISE EAT HEALTHY (2-17)-R4/2
WHNHEL42,WHEN DR ADVISE BIKE HELMET (2-17)-R4/2
WHNHGT42,WHEN DOCTOR MEASURED HEIGHT (0-17)-R4/2
WHNLAP42,WHN DR ADVISE LAP/SHLDR BLT (80<WT)-R4/2
WHNPHY42,WHEN DR ADVISE EXERCISE (2-17)-R4/2
WHNSAF42,WHEN DR ADVISE SAFETY SEAT (WT<=40)-R4/2
WHNSMK42,WHN DR ADVIS SMKG IN HOME BAD(0-17)-R4/2
WHNWGT42,WHEN DOCTOR MEASURED WEIGHT (0-17)-R4/2
WHTLGSPK,WHAT LANGUAGE SPOKEN OTHER THAN ENGLISH
WLKDIF31,DIFFICULTY WALKING 3 BLOCKS - RD 3/1
WLKLIM31,LIMITATION IN PHYSICAL FUNCTIONING - RD 3/1
WRKLIM31,WORK LIMITATION - RD 3/1
YCHJ3142,WHY CHNGD JOB BETWEEN RD 3/1 AND RD 4/2
YCHJ4253,WHY CHNGD JOB BETWEEN RD 4/2 AND RD 5/3
YNOUSC42_M18,MAIN REAS PERS DOESNT HAVE USC-R4/2
YRSINUS,YEARS PERSON LIVED IN THE US
